Station Code,Latitude,Longitude,Start,End,Data Center(s)
E095,41.03813,-0.84883,2009-05-25,2010-12-14,ORFEUS
E096,41.049182,0.869698,2011-03-17,2012-09-18,ORFEUS
E097,41.561432,-5.795351,2011-02-03,2011-11-30,ORFEUS
E098,41.592361,-5.087153,2010-10-25,2013-09-05,ORFEUS
E099,41.536514,-4.457605,2010-10-26,2013-09-04,ORFEUS
E100,41.495583,-3.757813,2010-10-30,2013-09-03,ORFEUS
E101,41.45137,-2.965829,2010-12-14,2013-07-08,ORFEUS
E102,41.301418,-2.357671,2011-02-14,2013-07-08,ORFEUS
E103,41.253626,-1.699506,2011-01-27,2013-07-11,ORFEUS
E104,41.384525,-1.076078,2011-02-15,2013-07-11,ORFEUS
E105,41.187473,-0.376111,2010-12-15,2013-07-15,ORFEUS
E106,41.305632,0.432007,2011-03-15,2012-09-18,ORFEUS
E107,41.328937,1.456032,2011-03-18,2012-09-19,ORFEUS
E109,42.12384,-7.347116,2010-11-17,2013-04-04,ORFEUS
E110,41.98999,-6.126956,2011-01-26,2013-09-11,ORFEUS
E111,42.026714,-5.478972,2011-02-02,2012-11-05,ORFEUS
E112,41.98521,-4.734251,2010-10-31,2013-04-17,ORFEUS
E113,41.917381,-4.088494,2010-10-31,2013-09-04,ORFEUS
E114,41.917862,-3.369144,2010-12-14,2013-07-08,ORFEUS
E115,41.800207,-2.6242,2011-03-16,2013-07-10,ORFEUS
E116,41.766941,-2.01169,2011-03-16,2013-07-10,ORFEUS
E117,41.75399,-1.3961,2011-05-05,2013-07-11,ORFEUS
E118,42.005543,-0.952359,2010-11-09,2012-10-09,ORFEUS
E119,41.844795,0.240459,2011-03-14,2012-09-19,ORFEUS
E120,41.720343,1.106209,2011-03-16,2011-09-09,ORFEUS
E121,41.666273,1.989302,2011-03-21,2012-09-17,ORFEUS
E122,42.360489,-8.040776,2010-11-18,2013-04-04,ORFEUS
E123,42.402107,-6.951273,2011-01-31,2013-07-17,ORFEUS
E124,42.483959,-6.494658,2010-11-04,2013-07-18,ORFEUS
E125,42.4543,-5.692034,2010-11-04,2013-07-18,ORFEUS
E126,42.42672,-5.062532,2010-12-09,2013-07-16,ORFEUS
E127,42.483509,-4.363443,2011-06-21,2014-03-26,ORFEUS
E128,42.410954,-3.65039,2011-01-13,2014-03-26,ORFEUS
E129,42.313732,-2.845706,2010-12-15,2014-04-24,ORFEUS
E130,42.263847,-2.268592,2010-12-16,2014-04-23,ORFEUS
E131,42.187504,-1.534279,2011-02-23,2013-07-15,ORFEUS
E132,42.380836,-0.962765,2010-11-11,2013-01-15,ORFEUS
E133,42.199263,-0.339246,2011-03-13,2012-09-19,ORFEUS
E134,42.249435,0.14168,2010-11-08,2013-04-25,ORFEUS
E135,42.202807,1.818538,2011-03-11,2012-09-17,ORFEUS
E136,42.063241,2.496213,2011-04-14,2012-09-17,ORFEUS
E137,42.62608,-8.475155,2011-01-19,2013-04-02,ORFEUS
E138,42.851513,-7.968898,2010-12-16,2013-06-18,ORFEUS
E139,42.937283,-7.510396,2011-03-16,2013-07-30,ORFEUS
E140,42.950382,-6.872151,2010-10-27,2013-04-11,ORFEUS
E141,42.819855,-6.047738,2010-11-03,2013-07-18,ORFEUS
E142,42.890614,-5.419321,2010-12-15,2013-07-18,ORFEUS
E143,42.906181,-4.608084,2010-11-17,2014-04-09,ORFEUS
E144,42.886791,-3.884955,2010-11-18,2014-04-25,ORFEUS
E145,42.796555,-3.207536,2011-02-10,2014-03-27,ORFEUS
